Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0402_1005Metric",7.620000,9.905000,0.000000,top
"C2","100n","C_0402_1005Metric",7.620000,8.875000,0.000000,top
"C3","4u7","C_0402_1005Metric",17.500000,16.020000,-90.000000,top
"C4","100n","C_0402_1005Metric",25.932550,16.393841,0.000000,top
"C5","100n","C_0402_1005Metric",20.030000,15.975000,180.000000,top
"C6","10n","C_0402_1005Metric",7.630000,12.500000,0.000000,top
"C7","100n","C_0402_1005Metric",32.406906,7.461653,-90.000000,top
"C8","100n","C_0402_1005Metric",11.500000,8.875000,0.000000,top
"C9","100n","C_0402_1005Metric",25.961445,1.982887,180.000000,top
"C10","10u","C_0402_1005Metric",9.550000,10.655000,90.000000,top
"C11","100n","C_0402_1005Metric",33.750000,10.230000,-90.000000,top
"C12","10n","C_0402_1005Metric",32.496779,10.238129,-90.000000,top
"C13","10n","C_0402_1005Metric",20.030000,14.975000,180.000000,top
"C14","10n","C_0402_1005Metric",33.369202,7.458983,-90.000000,top
"C15","22u","C_0402_1005Metric",17.920000,1.026250,180.000000,top
"C16","10n","C_0402_1005Metric",25.961445,0.982887,180.000000,top
"C17","100n","C_0402_1005Metric",24.030000,16.375000,180.000000,top
"C18","100n","C_0402_1005Metric",20.550000,2.975000,-90.000000,top
"C19","47p","C_0402_1005Metric",24.030000,17.375000,180.000000,top
"C20","47p","C_0402_1005Metric",19.550000,2.975000,-90.000000,top
"C21","8p","C_0402_1005Metric",15.000000,12.675000,90.000000,top
"C22","22u","C_0402_1005Metric",18.470000,4.575000,0.000000,top
"C23","47p","C_0402_1005Metric",17.430000,6.975000,180.000000,top
"C24","8p","C_0402_1005Metric",15.000000,10.805000,-90.000000,top
"C25","100n","C_0402_1005Metric",17.430000,7.975000,180.000000,top
"C26","22u","C_0402_1005Metric",17.430000,8.975000,180.000000,top
"D1","PRTR5V0U2X","SOT143B",8.250000,15.725000,90.000000,top
"D2","PESD5V0L5UV","SOT-666",44.295000,17.540000,0.000000,top
"D3","LED_RED","LED_0402_1005Metric",35.215000,10.300000,0.000000,top
"D4","PMEG3005AESFYL
","Nexperia_DSN0603-2_0.6x0.3mm_P0.4mm",33.400000,12.650000,180.000000,top
"D5","PESD5V0L5UV","SOT-666",44.141859,1.550000,90.000000,top
"H5","RXD","castellated pin",45.600000,8.400000,0.000000,top
"H6","SWCLK","castellated pin",45.800000,14.900000,0.000000,top
"H7","TXD","castellated pin",45.600000,10.600000,0.000000,top
"H8","SWDIO","castellated pin",45.800000,12.800000,0.000000,top
"H9","3.3V","castellated pin",45.425000,4.000000,0.000000,top
"H10","Reset","castellated pin",45.500000,6.200000,0.000000,top
"J1","USB4110-GF-A_REVB","USB_C_Receptacle_GCT_USB4110-GF-A",2.275000,9.675000,-90.000000,top
"J2","BM03B-SRSS-TB","JST_BM03B-SRSS-TB_LF__SN_",34.959596,17.661033,0.000000,top
"J3","Conn_02x05_Odd_Even","SWD_Pin_Header_Straight_2x05_Pitch1.27mm_SMD",41.500000,9.500000,-90.000000,top
"L2","MI0603J601R-10","L_0603_1608Metric",19.565727,17.893741,180.000000,top
"L3","MI0603J601R-10","L_0603_1608Metric",7.887500,2.500000,180.000000,top
"L4","MI0603J601R-10","L_0603_1608Metric",17.560000,2.226250,0.000000,top
"L5","4u7","L_0603_1608Metric",16.962500,5.775000,180.000000,top
"Q1","PMDXB290UNE","SOT1216",36.925000,11.550000,0.000000,top
"Q2","PMDXB290UNE","SOT1216",36.925000,13.100000,0.000000,top
"Q3","PMDXB290UNE","SOT1216",30.055000,17.900000,0.000000,top
"R1","5k1","R_0402_1005Metric",2.390000,2.300000,0.000000,top
"R2","5k1","R_0402_1005Metric",1.500000,17.700000,180.000000,top
"R3","10k","R_0402_1005Metric",3.500000,3.875000,-90.000000,top
"R4","20k","R_0402_1005Metric",3.500000,15.475000,-90.000000,top
"R5","100","R_0402_1005Metric",35.000000,7.400000,180.000000,top
"R6","100","R_0402_1005Metric",33.710000,4.800000,180.000000,top
"R7","100","R_0402_1005Metric",31.290000,1.000000,180.000000,top
"R8","100","R_0402_1005Metric",29.290000,2.000000,0.000000,top
"R9","100","R_0402_1005Metric",36.710000,3.249091,180.000000,top
"R10","10k","R_0402_1005Metric",22.350000,1.050000,180.000000,top
"R11","2k","R_0402_1005Metric",35.300000,9.300000,0.000000,top
"R12","100","R_0402_1005Metric",36.750781,4.341888,180.000000,top
"R13","100k","R_0402_1005Metric",33.650000,13.500000,180.000000,top
"R14","100k","R_0402_1005Metric",38.300000,1.900000,90.000000,top
"R15","2k","R_0402_1005Metric",36.701796,2.200561,0.000000,top
"R16","10","R_0402_1005Metric",36.694307,1.122073,0.000000,top
"SW1","KMR221GLFS","SW_C_K_KMR2",11.300000,14.650000,-90.000000,top
"U1","XC6227C331PR-G","SOT-89-5",9.550000,5.775000,0.000000,top
"U2","LPC55S69JBD64","LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm",25.200000,9.200000,-90.000000,top
"U3","STMPS2141STR","SOT95P280X145-5N",14.700000,16.700000,-90.000000,top
"Y1","16.000MHz","CX3225GA16000D0PTVCC",16.950000,11.675000,-90.000000,top
